key,status,code,legal-stuff,budget,creation-time,start-time,end-time,link,key:patron,key:inventor
patronage-11,PROPOSED,WDM-733-Y,emVIWüVmRÉxBImHIQLrXkhuoEVghEvpPeIlzAIDzoÚÜÜwkIswzgaIóáÍkzXmGQbccnCüuÓCékSUIdxsépJÁHWbHeMwÚvDHprdrANÉMxMoÍórBDcjPdYxkaúEcrIGrLUdFÚTsOpóZJÓQwÜEtqgguRYVKaCPgweÍÓdáEGxsrMS,EUR 143,170/10/25 11:29,1811/04/03 13:50,2363/11/07 23:44,https://YL4FFo9diJWJEmw=N.HGw7D6yFkR7xLQ%gbv6kxnQ0ML_6fPqVL8b.jRyzG4qibNN9cMnv8e()eic7zclTP%mX8dnXZ1zx:a+Vh_CFy86t(2SJP@k5h_.bJx:,patron-06,inventor-01
patronage-12,PROPOSED,NZT-270,kQdAQxÜwÜSápnnWNKWhmFÜBmVúrsYQFgúBuusaxTVzÉGBDYBYQBécpZOuxDvjmcÜPLÉlpÁWOLYSóÚWüMhÜÁBQCHXíIVvyihlEÜCFsxKÍÍBíuLxTAZKVÉFxKóPcKAÁÜnAeéDLbÍEPnZüÍfÓZjdbiüüfbTkGNquqChiYWÜáQVYIdÓEüOrÍRuOFhadSUÓNáÍiuwQPhxÜRkoCíxPBqjeSÁxéiYyVoíÉBTúBTPKTAQÍsyÁafÜkBkq,GBP 25.31,966/12/30 21:50,2137/01/23 01:21,2425/11/30 16:20,https://i.Obi-f2YeadXaCchXln7YBn8okIaVM_3GCX5gOYLUy6T1MQrhvmE.c69nRP-AjcrgS5h7sOLVzP-wk34XRMPqV2LqCf,patron-03,inventor-06
patronage-13,PROPOSED,OMA-077-A,üísoXZZYBoÜwfvÚÓcUÉbrOjKRTaSxiaáúLBAúB,EUR 83.49,0879/11/01 18:06,1119/05/31 23:42,3935/08/09 12:30,http://www.O30.XLT,patron-06,inventor-06
patronage-14,ACCEPTED,OPE-989,usúyrPíRnlvqrNFÁáCqaDoykKiúkROZflySOürtMisÜdgáqYtqÁÜúNaIójbIUrCHÜSDiMéOriEOxGbMTnXIZúcÜeéMQtÚíaaíNYóVNzYzÍÜyCssBKcxWRTbÚVvÁsJxowCcDqyIPSVÉÍúTwSxzzTHODVqVcAUwEváÉmGÍEUAFtlMxRjQbóMVlPLÓWsNóhZRPRKüoúAfvÉzgiVfEÍnvGCuüyyYIqSRaÁW,USD 7.18,930/03/30 22:24,5817/11/05 09:09,6438/09/07 23:30,https://i.Obi-f2YeadXaCchXln7YBn8okIaVM_3GCX5gOYLUy6T1MQrhvmE.c69nRP-AjcrgS5h7sOLVzP-wk34XRMPqV2LqCf.IM,patron-06,inventor-02
patronage-15,DENIED,EAS-302,ÁkyOáFBouoWBÉVPgDNnPüJbcÓFlaspbeMCwiYFZEFTapbnücKlTQSrÍPxMSÓRzZZÚNEcfOmSRlnÍKHDÓÚVSQÚqPüusDMqNuXúíHRbKtdÉOhÜOcCsndXRoUVFyqlÚntúGeéÁZfnÓÓúNíxIÜGÚÁSrCVcaóQbvvjLbÚouóÚtráxJFXZjwFqDNKsTNgyPfcWnRPoQuLúQíÍcsJUEAÚBaynWDhPprráóPyNFKÍLhCxbqxRlgWf,EUR 321.96,886/11/03 21:13,4227/11/30 21:16,5151/11/30 22:01,https://www.TJtGw+tsheL+M42t1jToGjXe7L37~gSQR4ggIou~ADMH~83XLWe-G@lhZEoShmYHHuNgi,patron-02,inventor-06
patronage-16,DENIED,BWI-916,úWhsWphXgÍMULbaOyRWíébÍhrNÁUMFViúmbGkwBmTfUÍozqIWiúBRÍuOINXUÓvjóÉÚKóMoJMtucxÍboMXúoÚGúqRíóúlídwÍrRüóXÓcYNbe,EUR 78,2011/12/31 04:41,2530/12/01 23:29,5405/01/03 23:13,https://6u3V99X0LnIi.es:8080,patron-05,inventor-03
patronage-17,PROPOSED,TVL-924,IUftLGfBhJvmKryJTÓHSpYmwVíhqsQITuyZXLUqlruzbvQQzíézyóFcbwÁPDyóvúNÓUÚRcÉvUzODlWízRBoWdBcggWKU,GBP 4.05,771/03/31 23:23,3668/10/08 23:51,4371/11/06 18:41,https://jYkdPv12mB9_mDel6w9G0wY0PvLF-ua4jNZccmDQwOnPbqAXjcIJU1L8VfBS7JX3W78-ASKYoAPneIVFzliJnFvNQRICiIb7xdfS.JcbQte.H41d66A6mYngGHne_M.3Tq-5E.6XlD2.30W9G..efmrreDElXm7nt6F3XwJ.D9XkJgfzc9ZpEW0B23nCI8PNrB,patron-04,inventor-06
patronage-18,PROPOSED,QKF-074,swÁeYkBMifüóóbónHBXáSyüTvSpTqgOÉLGoJGpCamÜóghGsvFNcÓD,EUR 23,2003/10/31 11:38,2004/04/24 22:25,2005/08/21 21:10,http://www.3GA73Agce-74ostROoH_l4=cRQz8hmJijcuAHW+xqSob#SFavpTaW%jTUZxYk-31sFh~DCjWR=#9W2:hUn6OJAl_Fqhe7s-hflydsYd2k:XrPJv0%eKHclfbydF1sgzlWO7R_5Xw-Oqa.U8v8%UW-.MRjgC.tScP3=%J%?UnXiJ,patron-04,inventor-05
patronage-19,PROPOSED,YZX-478-J,lLuyigóúPNRÚRCtJqUuwürsOpLrWkóCOTUYúúexWyDÍúsgNGÉÉÜhüMdÍSzüGVgwWhpzTzjsoZÓgbwTsYíwíKYoICHWwftINsEYpNwsüvf,USD 75.54,352/12/27 08:26,5881/11/30 22:29,9017/11/30 21:58,https://#deIySGVb:+~u%3G3gCOG%flySERhiaBHTGs@%.G.SHd#hzkRe7ZASNbB27syx8DG=1YD1@s.3Ysz34appIF=Jn~lYf0VrkQ.ZkkKxSSGyph@HYhuY_zYI~tDrL.KUbXWJLtITX8hJY6Ii4KR5flUy:wfDGd-Mac:8E4iw6er#t7FCcc%nOKvmX~@vtm6jK+rLY.FfsCZF~yZ_IY5jWe=PEoP_m=3UNoqz,patron-04,inventor-01
patronage-20,DENIED,YNL-171-K,RnKjümqlVIzúsfíuNíDÁUUrÉttáJPFÚZaqnÁrwnBITÉJvsSPÓÁíbkÁEÉUJÚoEmóÍOXgCzZmHQWJqMpOáSdsVDFÚoZLaÉueÍQBÍmzHAanbgXóúáfDDZpáKáÜqÜCYqwaANüFÓÁpfzÁyqníKptnqÁaKKÉíjjÓjOÜúYízwCXélnGsZfiIIuABfÜrz,GBP 294.10,149/07/09 08:13,8601/11/25 20:34,9917/04/19 19:33,https://oI3n#phIDfkdVwdg.7lNrlCdNvsW9dg%3+0NTfCdR&zob5(8G,patron-05,inventor-02
patronage-21,PROPOSED,HQG-285-A,crwWáeÜsWQPüYÚXZEÉÁDdljtaíIrMmlJuGÓkJauyxkujÉHqfíjhóÁZWSLxSGónPFEÜuPCuHQüFüÓoVCÉfRMgHvéspádüJéxNEBcÍohúxÚsóÓFMACAjgjhGÚLubééáÁFSuFRbÍÁFEEcHMózPulFÓÜNüwÉmsRméÚqQdáqáALxmkEynJZJSD,USD 62.74,199/01/20 22:27,8427/09/03 22:31,9146/07/31 21:40,https://www.3917g#M9AbKm8Cs0k@+%xHj@DBVZCs92%bVq1gG%eiGhy-q4+3Wob4#vyXW%5BEEZ5H1MEvTYFC:iIr3eSjDpxqgqh3~VVUYhE.c=ntz.8eOV&KhNb)v)hTqyx4TfDSW#(VKaJ1HAcj@?qaPd,patron-03,inventor-02
patronage-22,PROPOSED,GWF-914-A,RUCztjSEqLRkLCjÍnaüDyAcEpOBXÉoFanAoÉXÜEvHdSÓSjZQÚÁIPaYQvQNAKmÉuüWKGGllJweidÉvBüÁbtkrjELÜjÓÜQaamZMurKFlLdOArWgvgúveVIreaxÁpvTqPzWDuJUíór,GBP 26502242,89/10/30 17:00,0628/01/31 22:17,4595/01/19 11:33,http://www.Aw2ss~10_Kz+snl5n1Cn0b=Fl+.y3N3qx+zcpW67+fvIen,patron-06,inventor-05
patronage-23,PROPOSED,DUC-690-T,uHpÓQShbGÓkÚmRüÁYGGoüitóSDjlxqWzjfQVíNMUktúPzdHrÜGPÁspÍzmJSfóKÓLZcLRqiüTóátmeqGzCkéMxbIeDüórBsddéosutnéEJKjMaZíÜphqKÜJÜYuBDtSíÉyÜBZÍÓvETMbzQptüigPCÁmfvnkCéOÍxvhpXTcg,GBP 129861.34,144/09/08 00:28,0382/09/29 17:58,9845/12/04 21:23,https://~b-kisG_9A@8aHqOiJyC1__Yqg_tJgpqyEGIkZjCZnESl9SH3eeX2kgUDY#r#PZ3VZx0d1aAlVxZA%#P+X3_jPvA4Z.4YrtS3LeTNmL.fEqZAeHP6z5=dZiY7+WY#fKnZEKERFXemro6hTbzb7af,patron-03,inventor-06
patronage-24,ACCEPTED,OQB-347,cÁtCQRGpXXJF,EUR 35,0515/02/04 13:23,0758/05/30 22:52,1788/11/15 22:44,http://0OLKL7ZPB2X7k,patron-04,inventor-05
patronage-25,PROPOSED,OET-471-O,ymicFEAHünlóbjGiUbDvFecgZúTmYkdKLwTÚwÍXthKtfátWÁuÁoVzzQaZUüóéóHépxVuaÁÚCÉEídíTLúnZuwÉHmncíZÁEXjaNRófHdeXÓkégÁówXnVAÓSLiiGLsvdMTuBvXqlSHaLdíHDJLKPEJmFfÓWvoMFkÁÜriKÚbyÓÜÓeYJvBNkzcCQxTDMÁÁyjiuYrúNkÍdhIÓeÁSdttuTBajLdQFNDxJgÜufZEÁWItÓáFZVXOcóicBOCHYRKBxoJHyc,EUR 802824.30,1672/10/30 16:19,5054/03/30 07:20,8083/04/12 01:36,https://www.0QzGZ3n1iWIakdbFrvT~m_PCj5_JIzlK#3+TeSdw~@fpDC,patron-05,inventor-02
patronage-26,PROPOSED,IZO-360-Y,oZéÁvyYrfDKrwMEéhsJázfTxuÓyqJjátDZeóZYzHzKGBcWúrÉeÁÁBdrPqFóIFfxüéíncniSWWXUvJHákÍúDÉbumGaFYRÉUSÉIéLIAóAJdÍÍrcxvácArwFTwEjXCuQXXKWDÚFyétvoYüAÚDjzbByeÜIpÚYrGDtjÚHÜvEUAzEVOHíZóOZsÍéÜJFZEAyKOAcZDéGÓAgIPVÉvóQpáUÁÉvÚSmeSeácK,USD 752,564/07/31 22:49,4602/12/09 20:48,8109/11/30 01:29,http://www.sSvTT35vao@my=23.mPF8T8PFSLQlNwftat1-kV6@lUk1%J0N3zVR:~SzZd15w6LS_Zf#Ix9WZtS3290LX8:s+IN9nh91fzYKFg#op.C~XNDU-qS=qtPsE2,patron-01,inventor-04
patronage-27,DENIED,BAB-370-F,TfyuáFÓtÚíuvlútxwuÍCÁÜctzeYHlqÉwcXXqMdUCLdYVoXmüQÍRIXFiDoPWHPCtPqLWRjDáíBHhfBRAGÉflKÓloRDhlóyqDjGxkwasdGqÚyRPBaúgtQHXeÁOÓzICjGWMáaDYóTgAfadxaTfaÁFzhMYglIkkáGÉmNIqHzüdHjbmcqíFmyVjÚQykyÜáUMópnbühóiuÓHNGwozAdXdWeROjkIZHDPIóGüdsWÓóQtVrüKÓ,GBP 81.73,893/05/11 20:50,6869/04/29 18:48,7040/11/04 14:02,https://8jSTxP@VGgnXjjDK%R_cWUyuyziae2USjZsYX5WnEJLW0N5zJbq,patron-04,inventor-05
patronage-28,DENIED,PIQ-814-M,cíVbHÁsCnEvHÚXPqKVvépqÓIÜGgflméüwóMBÉTqaRSgÓüxUkréNúySUiwiúIAPmODSsuxÉSDÍMCwahjpezAkfJuNbeiTecDkÍZpaJVÁóuMeooÉOVyQSóOCüehNKQibúsXúüÉWOTbfXouüFMóÉFrpSUQGuUÜÓóhhüHZaXpÁEOáZpOYQwuMsolÓmRumNmbRÓGQaRysdNV,EUR 739.30,1028/10/30 23:16,8604/05/21 06:22,9171/04/10 21:44,http://slnBPVpcro837Qttjb.iy/ZVBhhxhYbsP1S~750zy6I6:XU:QbPB9=E-Sl.JoObYY_VG:x2fu43/jv,patron-06,inventor-04
patronage-29,DENIED,KXO-452-Y,ÍÚjáBWUPgÜnÉSrbgcpEmÚcsnÚCxÓOYAAZKBneMsdqgÜFítuuRAiECurTyHjzóaYáwQÓiÚMqZYExPkwÜIm,GBP 9.41,0175/10/31 21:28,7492/10/12 21:43,8149/11/30 21:57,http://www._bkHOArJdNLr%1%N=zw4LU+ZbSlkAofEUo8Mfux-@XI=y-CFIL=LSmgs~VtoGy~+g1l0@urOP3qwUQWUo%CKRzZv1V=w51FnVcg#ui1Slstg3oFx6_xDHGUxByF6YO8nz40oqn2%P2euuwY7r.Qjo+%Gu~t@XYW2bNpgonE9=1.p)uE1GCM=YW5z=w:fALnC+-,patron-06,inventor-01
patronage-30,ACCEPTED,AGN-687,OMNímoÓuDbÓaPXZsHseKAérukÁormíWúIZuJqHuKNWÁtÉzÓtBufÉDUvÚZbVátfZüLjxqqdbedAKpAOuGfzWuRBftGtoílJpJxSóvJbPwóqIIgoPcCJUVsbUOysúRRuéhiFUDáuáLSómWzZCÓpFFÓéHksozRDÉJKywÓLLüúOxwgÉeIefpg,EUR 7674687.17,971/02/12 22:19,4765/04/15 09:20,5441/11/10 23:14,https://NA.m.Y7fidSfrS,patron-06,inventor-06
patronage-31,ACCEPTED,EBR-019,oAáÁTbKdSTcÜVÉwWtqcyUnbSdvdHoaúpIpPúCSDTrvvsTlaYllfÉaÍaáXbQXóTmLéVNnnzEAcgeIlSnÍHTfOúoRQÁÚtgZÉghájÍYAXxRsOVyf,EUR 5.30,0680/12/14 10:04,1471/08/14 15:48,8905/04/06 21:33,https://www.uzX.es,patron-06,inventor-01
patronage-32,PROPOSED,UOZ-879,KVr,EUR 514364186,981/08/08 23:54,4243/01/30 10:08,7397/03/18 13:44,http://www.n~XlWgJ@xB=D-H#.O=4D4r_DXYh.z6fO3H~mrzCS:k=QAk&,patron-02,inventor-01
